cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
Liberal Party,A woman,35,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A man,34,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,56,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Green Party,A man,50,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Conservative Party,A woman,39,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,61,Alberta,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A man,54,Manitoba,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Liberal Party,A man,40,Manitoba,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,35 to 44
Conservative Party,A woman,60,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,54,British Columbia,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Another party (please specify),A woman,46,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Don't know/ Prefer not to answer,A woman,60,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A man,59,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Don't know/ Prefer not to answer,A man,63,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,51,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A woman,56,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Don't know/ Prefer not to answer,A woman,37,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Liberal Party,A woman,60,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
ndp,A man,63,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Don't know/ Prefer not to answer,A woman,39,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A man,63,Ontario,Some university,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,61,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Conservative Party,A man,37,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Green Party,A man,52,Nova Scotia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Don't know/ Prefer not to answer,A man,55,Alberta,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A woman,49,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A woman,30,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
Conservative Party,A woman,53,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A man,57,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A man,25,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A man,36,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Conservative Party,A woman,60,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A woman,58,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A woman,49,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A man,63,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Green Party,A woman,26,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,64,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,62,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A man,57,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,60,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
ndp,A man,43,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Don't know/ Prefer not to answer,A man,63,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
ndp,A man,58,Nova Scotia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,55,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,58,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A man,42,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
ndp,A man,56,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Green Party,A woman,36,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Liberal Party,A woman,42,Quebec,Completed elementary school,NA,Female,35 to 44
Liberal Party,A man,36,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A woman,50,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A woman,40,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Green Party,A man,55,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Liberal Party,A man,42,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Conservative Party,A man,32,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Bloc Québécois,A man,57,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,56,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,60,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A man,64,Newfoundland and Labrador,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,28,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Don't know/ Prefer not to answer,A woman,64,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A woman,40,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Green Party,A man,29,Quebec,Some university,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A man,59,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A man,39,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A woman,45,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Green Party,A woman,33,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,47,Quebec,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A woman,35,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,43,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A woman,62,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
ndp,A man,41,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Conservative Party,A woman,62,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,33,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
ndp,A man,35,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A man,34,Prince Edward Island,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Liberal Party,A man,47,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,45 to 54
Conservative Party,A man,46,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Green Party,A woman,47,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Liberal Party,A man,36,Alberta,Some secondary/ high school,Other,Male,35 to 44
Liberal Party,A woman,30,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,25 to 34
Liberal Party,A woman,52,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Bloc Québécois,A woman,48,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Green Party,A man,54,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A man,61,Prince Edward Island,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
People's Party,A man,44,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Don't know/ Prefer not to answer,A man,40,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Don't know/ Prefer not to answer,A man,56,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Don't know/ Prefer not to answer,A woman,34,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Don't know/ Prefer not to answer,A man,59,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A woman,57,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A man,31,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
ndp,A man,59,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,63,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A man,61,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Don't know/ Prefer not to answer,A woman,54,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Conservative Party,A man,53,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
Bloc Québécois,A man,30,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Liberal Party,A man,59,Newfoundland and Labrador,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,60,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A woman,59,Quebec,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,57,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Bloc Québécois,A man,58,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,50,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Don't know/ Prefer not to answer,A woman,37,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A woman,52,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Conservative Party,A woman,64,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A woman,39,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,35,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Liberal Party,A woman,61,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Don't know/ Prefer not to answer,A woman,49,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A woman,56,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,32,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A man,63,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Green Party,A woman,58,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,49,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,59,Quebec,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,60,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,56,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A woman,61,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,61,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Liberal Party,A woman,61,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
People's Party,A man,62,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Conservative Party,A man,39,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Conservative Party,A woman,38,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,35 to 44
Conservative Party,A woman,45,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A woman,50,New Brunswick,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Green Party,A man,45,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A man,49,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Green Party,A man,49,Ontario,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A woman,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A woman,51,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A woman,61,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A man,56,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A woman,53,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Don't know/ Prefer not to answer,A man,51,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Another party (please specify),A woman,56,Ontario,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A man,64,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Don't know/ Prefer not to answer,A woman,47,Ontario,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,44,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A man,52,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
Conservative Party,A man,57,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A man,53,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
ndp,A man,47,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
ndp,A woman,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,50,Newfoundland and Labrador,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Don't know/ Prefer not to answer,A woman,52,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,58,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Green Party,A man,60,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A man,25,Nova Scotia,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Don't know/ Prefer not to answer,A man,58,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A man,61,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,39,Quebec,Some university,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A woman,56,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Don't know/ Prefer not to answer,A man,54,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,45 to 54
Don't know/ Prefer not to answer,A woman,48,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Green Party,A woman,36,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Green Party,A woman,49,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Conservative Party,A man,52,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,45 to 54
Green Party,A man,59,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,31,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
People's Party,A woman,42,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,49,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A woman,48,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A man,29,Ontario,Completed elementary school,NA,Male,25 to 34
Liberal Party,A woman,60,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Green Party,A man,32,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Don't know/ Prefer not to answer,A man,62,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Don't know/ Prefer not to answer,A man,38,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Bloc Québécois,A man,61,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A woman,62,Ontario,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A man,44,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
ndp,A woman,34,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
Don't know/ Prefer not to answer,A man,62,Nova Scotia,Some secondary/ high school,Other,Male,55 to 64
Green Party,A man,31,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Liberal Party,A man,34,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Liberal Party,A man,48,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A man,64,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Liberal Party,A man,32,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Don't know/ Prefer not to answer,A woman,31,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Conservative Party,A man,64,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Don't know/ Prefer not to answer,A woman,57,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Liberal Party,A woman,47,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A woman,31,Ontario,Some university,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,28,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Green Party,A man,39,Ontario,Some secondary/ high school,Other,Male,35 to 44
Conservative Party,A man,61,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A woman,45,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,45 to 54
Don't know/ Prefer not to answer,A woman,31,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A woman,59,Quebec,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,36,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
